km;height
1650.57;134.3
1650.576;134.5
1650.586;134.7
1650.597;135
1650.608;135.3
1650.619;135.7
1650.63;136
1650.635;136.1
1650.646;136.5
1650.657;136.8
1650.668;137.1
1650.679;137.5
1650.69;137.8
1650.695;138
1650.706;138.3
1650.718;138.6
1650.729;138.9
1650.74;139.2
1650.745;139.3
1650.756;139.6
1650.767;139.9
1650.778;140.2
1650.789;140.5
1650.8;140.8
1650.806;141
1650.816;141.3
1650.828;141.6
1650.839;141.9
1650.85;142.3
1650.855;142.4
1650.867;142.8
1650.878;143.1
1650.889;143.4
1650.9;143.7
1650.905;143.8
1650.916;144.1
1650.927;144.3
1650.938;144.5
1650.95;144.7
1650.955;144.8
1650.966;145.1
1650.978;145.3
1650.989;145.5
1651;145.8
1651.006;145.9
1651.017;146.1
1651.028;146.4
1651.039;146.7
1651.05;146.9
1651.055;147.1
1651.067;147.3
1651.078;147.6
1651.089;147.9
1651.1;148.1
1651.106;148.3
1651.117;148.5
1651.129;148.7
1651.14;149
1651.146;149.1
1651.157;149.4
1651.168;149.6
1651.18;149.9
1651.185;150
1651.197;150.2
1651.208;150.6
1651.219;150.9
1651.23;151.2
1651.236;151.4
1651.247;151.7
1651.259;152.1
1651.27;152.4
1651.281;152.7
1651.286;152.9
1651.297;153.2
1651.308;153.5
1651.319;153.8
1651.33;154.1
1651.336;154.3
1651.348;154.6
1651.359;154.9
1651.37;155.2
1651.376;155.3
1651.387;155.7
1651.399;155.9
1651.41;156.3
1651.415;156.4
1651.426;156.7
1651.438;157
1651.449;157.4
1651.461;157.7
1651.466;157.8
1651.477;158.1
1651.489;158.5
1651.5;158.8
1651.506;158.9
1651.517;159.1
1651.528;159.4
1651.539;159.6
1651.55;159.9
1651.556;160
1651.568;160.2
1651.579;160.5
1651.59;160.7
1651.596;160.9
1651.607;161
1651.618;161.2
1651.63;161.3
1651.635;161.4
1651.647;161.5
1651.658;161.6
1651.669;161.8
1651.681;161.9
1651.686;162
1651.698;162.1
1651.709;162.3
1651.72;162.5
1651.726;162.6
1651.737;162.7
1651.748;162.9
1651.76;163.1
1651.766;163.2
1651.777;163.4
1651.788;163.5
1651.8;163.7
1651.806;163.8
1651.817;164
1651.828;164.1
1651.84;164.3
1651.846;164.4
1651.856;164.5
1651.867;164.7
1651.878;164.8
1651.89;165
1651.9;165.1
1651.905;165.2
1651.916;165.4
1651.928;165.6
1651.939;165.7
1651.949;165.9
1651.961;166.1
1651.966;166.2
1651.977;166.3
1651.988;166.5
1652;166.7
1652.005;166.8
1652.017;167.1
1652.028;167.5
1652.039;167.8
1652.051;168.1
1652.056;168.2
1652.067;168.6
1652.079;168.9
1652.09;169.2
1652.096;169.3
1652.107;169.7
1652.119;170.1
1652.13;170.6
1652.135;170.8
1652.146;171.2
1652.158;171.6
1652.169;172.1
1652.18;172.4
1652.191;172.9
1652.196;173.1
1652.207;173.5
1652.219;174
1652.23;174.4
1652.236;174.7
1652.247;175.1
1652.258;175.6
1652.269;176
1652.28;176.5
1652.286;176.7
1652.297;177.2
1652.308;177.6
1652.32;178.1
1652.326;178.3
1652.337;178.8
1652.348;179.2
1652.359;179.7
1652.37;180.1
1652.38;180.5
1652.385;180.8
1652.396;181.2
1652.407;181.5
1652.419;181.6
1652.43;181.7
1652.436;181.8
1652.448;181.9
1652.458;182
1652.47;182.1
1652.475;182.1
1652.486;182.2
1652.497;182.3
1652.509;182.2
1652.52;181.9
1652.526;181.8
1652.537;181.5
1652.548;181.2
1652.559;180.8
1652.571;180.5
1652.576;180.4
1652.587;180.1
1652.599;179.7
1652.61;179.3
1652.615;179
1652.627;178.5
1652.638;178
1652.649;177.5
1652.66;177
1652.666;176.7
1652.677;176.2
1652.688;175.7
1652.699;175.1
1652.71;174.7
1652.716;174.4
1652.727;174
1652.738;173.6
1652.749;173.2
1652.755;173
1652.766;172.5
1652.777;172.1
1652.789;171.7
1652.8;171.3
1652.806;171.1
1652.817;170.7
1652.828;170.3
1652.84;169.9
1652.846;169.7
1652.857;169.4
1652.868;169
1652.88;168.6
1652.885;168.4
1652.896;168.1
1652.908;167.8
1652.919;167.7
1652.93;167.7
1652.936;167.6
1652.946;167.6
1652.957;167.5
1652.968;167.5
1652.979;167.4
1652.985;167.4
1652.997;167.3
1653.008;167.2
1653.02;166.9
1653.026;166.8
1653.037;166.5
1653.048;166.2
1653.059;165.9
1653.07;165.6
1653.076;165.5
1653.088;165.2
1653.099;164.9
1653.11;164.6
1653.116;164.5
1653.128;164.2
1653.139;164
1653.15;163.8
1653.155;163.7
1653.167;163.5
1653.178;163.3
1653.189;163
1653.197;162.9
1653.206;162.7
1653.217;162.5
1653.229;162.3
1653.24;162.2
1653.246;162.1
1653.257;161.9
1653.269;161.7
1653.28;161.6
1653.286;161.5
1653.297;161.3
1653.308;161.2
1653.318;160.9
1653.329;160.6
1653.34;160.4
1653.346;160.2
1653.357;160
1653.368;159.7
1653.38;159.4
1653.385;159.3
1653.397;159
1653.408;158.8
1653.419;158.6
1653.43;158.4
1653.436;158.3
1653.447;158.1
1653.458;157.9
1653.469;157.7
1653.48;157.5
1653.486;157.4
1653.497;157.2
1653.508;157
1653.519;156.9
1653.525;156.9
1653.536;156.8
1653.547;156.7
1653.558;156.7
1653.569;156.6
1653.581;156.5
1653.586;156.5
1653.597;156.4
1653.609;156.4
1653.62;156.4
1653.626;156.4
1653.637;156.5
1653.649;156.5
1653.66;156.5
1653.666;156.5
1653.677;156.6
1653.688;156.6
1653.7;156.6
1653.705;156.7
1653.717;156.8
1653.728;157
1653.739;157.2
1653.75;157.4
1653.756;157.5
1653.767;157.7
1653.778;157.9
1653.789;158.1
1653.8;158.3
1653.806;158.4
1653.817;158.6
1653.828;158.7
1653.84;158.9
1653.845;159
1653.856;159.1
1653.867;159.3
1653.879;159.4
1653.89;159.6
1653.896;159.7
1653.906;159.8
1653.917;159.9
1653.929;160
1653.94;160.1
1653.945;160.1
1653.957;160.2
1653.968;160.3
1653.979;160.3
1653.985;160.4
1653.996;160.5
1654.008;160.5
1654.019;160.4
1654.03;160.3
1654.04;160.2
1654.046;160.1
1654.057;160
1654.068;159.9
1654.079;159.7
1654.09;159.6
1654.096;159.5
1654.107;159.4
1654.118;159.2
1654.129;158.9
1654.141;158.6
1654.146;158.5
1654.157;158.3
1654.168;158
1654.18;157.7
1654.186;157.6
1654.197;157.4
1654.208;157.1
1654.219;156.8
1654.23;156.4
1654.235;156.3
1654.247;155.9
1654.258;155.6
1654.269;155.2
1654.28;154.9
1654.285;154.7
1654.296;154.4
1654.307;154
1654.319;153.9
1654.33;153.9
1654.335;153.9
1654.346;153.8
1654.357;153.8
1654.369;153.8
1654.38;153.7
1654.386;153.7
1654.397;153.7
1654.408;153.6
1654.419;153.7
1654.43;153.8
1654.436;153.8
1654.446;153.9
1654.458;154
1654.469;154.1
1654.48;154.2
1654.486;154.2
1654.497;154.3
1654.507;154.4
1654.519;154.4
1654.53;154.4
1654.536;154.4
1654.547;154.4
1654.558;154.3
1654.569;154.3
1654.575;154.3
1654.587;154.3
1654.598;154.3
1654.609;154.2
1654.621;154.1
1654.626;154
1654.638;153.8
1654.649;153.6
1654.66;153.5
1654.666;153.4
1654.677;153.2
1654.688;153
1654.7;152.8
1654.705;152.7
1654.717;152.6
1654.728;152.5
1654.739;152.4
1654.75;152.3
1654.756;152.3
1654.767;152.2
1654.779;152.1
1654.79;152
1654.795;152
1654.806;151.9
1654.817;151.9
1654.829;152.1
1654.837;152.4
1654.848;152.7
1654.859;153
1654.87;153.2
1654.875;153.4
1654.887;153.7
1654.898;153.9
1654.909;154.2
1654.92;154.5
1654.926;154.6
1654.937;154.9
1654.949;155.1
1654.96;155.4
1654.966;155.5
1654.977;155.8
1654.988;156
1654.999;156.3
1655.01;156.5
1655.016;156.7
1655.027;157
1655.039;157.4
1655.05;157.7
1655.056;157.9
1655.067;158.2
1655.078;158.5
1655.089;158.8
1655.099;159.2
1655.105;159.4
1655.117;159.6
1655.127;159.6
1655.138;159.6
1655.149;159.6
1655.16;159.7
1655.166;159.7
1655.177;159.7
1655.188;159.7
1655.199;159.7
1655.21;159.7
1655.215;159.7
1655.227;159.9
